Program_id,Emp_id,TRP,Program_name,Starting_time,Ending_time,Starting_Date,Ending_Date,Program_type,Sponsor,Number_of_Episodes
702,37,128.929,Alpha,12:55 PM,3:20 AM,27/05/2010,5/8/2010,Aaaahhhhhhhhhh!,The Gabelli Healthcare & Wellness Trust,87
159,217,228.898,Cardguard,8:31 PM,9:03 AM,1/5/2006,22/07/2010,Aaaahhhhhhhhhhhhh!,"Interface, Inc.",28
154,243,164.718,Subin,8:50 PM,10:23 AM,8/3/2005,12/1/2008,Aaaahhhhhhh!,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,5
750,131,374.063,Zamit,3:10 PM,10:58 PM,3/12/2004,17/01/2010,Aaaahhhhhhhhhhhhhh!,WisdomTree Emerging Markets Quality Dividend Growth Fund,1
768,173,195.872,Treeflex,12:43 AM,2:56 PM,27/08/2003,21/06/2015,Aaaahhhh!,Tonix Pharmaceuticals Holding Corp.,84
827,232,98.642,Bytecard,3:08 PM,11:32 AM,5/11/2001,4/11/2004,Aaaahhhhhhhhhh!,"Southwest Gas Holdings, Inc.",89
574,52,205.182,Solarbreeze,1:17 PM,4:14 PM,23/04/2009,20/06/2009,Aaaahhhh!,Tejon Ranch Co,94
103,199,496.094,Voltsillam,8:46 PM,11:42 AM,31/10/2009,30/09/2007,Aaaahhhhhhhhhhhhhh!,Newtek Business Services Corp.,34
846,104,175.361,Greenlam,1:06 PM,7:28 AM,24/11/2014,19/09/2015,Aaaahhhhhhhhh!,"Everbridge, Inc.",72
97,73,477.59,Sonsing,7:24 PM,7:12 AM,13/08/2007,18/05/2003,Aaaahhhhhhhhhhhhhh!,"BroadSoft, Inc.",95
232,231,425.6,Bitwolf,2:15 AM,11:49 PM,7/9/2000,3/3/2001,Aaaahhhh!,Teledyne Technologies Incorporated,34
719,92,472.158,Tampflex,1:47 PM,1:13 PM,8/6/2012,2/8/2016,Aaaahhhhhhhhhhhhhh!,"NextEra Energy, Inc.",68
423,142,81.413,Bigtax,8:01 AM,3:16 AM,9/9/2015,29/04/2015,Aaaahhhhhhhhhh!,Legacy Reserves LP,65
802,54,283.73,Latlux,9:51 AM,6:47 PM,2/10/2002,16/01/2008,Aaaahhhhhhhhhhhhhhh!,PowerShares DWA SmallCap Momentum Portfolio,14
782,218,16.431,Lotstring,8:44 PM,3:57 AM,13/09/2004,17/01/2011,Aaaahhh!,"Banco Santander, S.A.",95
472,28,482.39,Veribet,5:29 PM,9:06 AM,25/10/2016,1/10/2003,Aaaahhhhhhh!,AGNC Investment Corp.,42
676,103,442.887,Redhold,4:03 PM,6:26 AM,12/7/2013,14/01/2005,Aaaahhhhhhhhhhhhh!,"Bob Evans Farms, Inc.",3
966,161,197.33,Greenlam,12:21 AM,8:26 PM,25/04/2007,8/7/2001,Aaaahhhh!,Monsanto Company,86
17,235,104.761,Bitwolf,7:07 AM,2:58 PM,18/03/2003,13/04/2002,Aaaahhhhhhhhhhhhhh!,Stone Energy Corporation,5
785,225,482.408,Otcom,12:38 AM,2:59 PM,16/05/2013,4/1/2004,Aaaahhhhhh!,Daily Journal Corp. (S.C.),8
691,169,114.104,Span,9:05 AM,10:55 AM,15/11/2003,10/9/2010,Aaaahhhhhhhhhhhhhhh!,BlackRock Municipal Income Trust,82
71,187,16.984,Rank,5:03 PM,10:37 AM,3/12/2012,18/01/2000,Aaaahhhhhhhhh!,Orix Corp Ads,40
446,141,326.074,Bytecard,3:16 AM,4:37 PM,8/7/2016,4/6/2001,Aaaahhhhhhhhhh!,"Cascadian Therapeutics, Inc.",68
545,77,498.32,Domainer,5:51 PM,4:37 PM,13/01/2013,22/10/2014,Aaaahhhhhhhhhhh!,Aspen Insurance Holdings Limited,17
668,182,409.223,Y-find,5:13 AM,3:04 PM,22/12/2015,12/1/2006,Aaaahhhhhhhhhhhh!,ENSCO plc,56
120,30,230.906,Fixflex,1:12 PM,11:29 AM,24/05/2016,6/3/2007,Aaaahhhhhh!,Allegion plc,18
374,21,97.579,Daltfresh,9:31 PM,1:15 PM,28/07/2003,6/2/2013,Aaaahhhhhhh!,United Security Bancshares,5
640,204,337.358,Bamity,4:43 PM,11:10 AM,15/12/2005,18/05/2002,Aaaahhhhhhhh!,"CNO Financial Group, Inc.",64
21,243,225.908,Alpha,7:12 AM,2:21 AM,27/03/2012,16/05/2015,Aaaahhhhhhhhhhhhh!,Syngenta AG,56
330,31,24.716,Home Ing,2:56 PM,11:46 PM,12/4/2002,7/6/2015,Aaaahhhhhh!,"Lifetime Brands, Inc.",38
354,232,298.102,Biodex,1:35 AM,4:46 AM,31/08/2016,9/8/2014,Aaaahhhhh!,"Group 1 Automotive, Inc.",62
532,14,103.16,Andalax,10:47 PM,2:56 PM,14/08/2009,20/06/2002,Aaaahhhhhhhhhhh!,Deutsche Bank AG,43
1000,15,35.734,Bitwolf,7:42 AM,12:05 AM,12/1/2006,10/9/2008,Aaaahhhhhhhhhhhh!,Noah Holdings Ltd.,40
70,186,96.395,Greenlam,3:38 PM,9:24 PM,10/2/2010,27/11/2015,Aaaahhhhhhh!,Euro Tech Holdings Company Limited,15
428,53,214.348,Bigtax,10:09 PM,6:08 AM,10/8/2003,17/08/2005,Aaaahhhhhhhhhhh!,"Alteryx, Inc.",62
858,195,466.932,Trippledex,9:35 AM,3:13 AM,1/9/2010,23/10/2007,Aaaahhhhhhhhhhhhhh!,"Hemisphere Media Group, Inc.",25
111,37,44.194,Overhold,5:35 PM,11:19 PM,9/1/2012,26/10/2011,Aaaahhhhhhhhhh!,"T2 Biosystems, Inc.",88
761,76,294.783,Y-Solowarm,12:12 PM,7:50 PM,21/12/2008,28/05/2010,Aaaahhh!,Jacobs Engineering Group Inc.,99
105,157,92.398,Domainer,12:54 PM,4:41 AM,5/5/2008,23/12/2009,Aaaahhh!,Morgan Stanley,31
896,211,488.838,Fix San,6:29 AM,9:16 PM,10/9/2007,20/08/2012,Aaaahhh!,LCI Industries ,94
873,246,163.306,Subin,1:12 AM,3:18 PM,11/3/2004,21/10/2016,Aaaahhhhhhhhhhhh!,"MidWestOne Financial Group, Inc.",54
211,78,12.386,Wrapsafe,12:46 AM,12:54 PM,11/2/2008,17/04/2012,Aaaahhhhhhh!,Vaalco Energy Inc,27
856,81,210.503,Bitchip,3:46 PM,2:07 PM,2/8/2014,12/4/2012,Aaaahhhhhhhhhhhhhh!,Korn/Ferry International,7
198,67,60.484,Biodex,10:26 AM,5:25 PM,17/05/2014,7/11/2010,Aaaahhhhhhh!,"Castlight Health, inc.",25
946,159,188.171,Prodder,7:02 PM,8:50 PM,25/06/2016,16/08/2009,Aaaahhhhhhhhhhh!,"Viking Therapeutics, Inc.",31
1000,20,144.93,Asoka,10:41 PM,11:30 AM,10/4/2007,30/05/2007,Aaaahhh!,Crawford & Company,3
37,69,345.023,Fixflex,7:18 AM,12:03 AM,31/03/2006,7/12/2010,Aaaahhhhhhhh!,"BCE, Inc.",22
823,140,390.217,Mat Lam Tam,2:09 AM,3:06 PM,12/6/2013,8/8/2010,Aaaahhhhhhhhh!,"Hudson Technologies, Inc.",4
531,233,288.153,Lotlux,1:05 AM,12:37 AM,3/4/2016,20/02/2009,Aaaahhhhh!,"Bridgeline Digital, Inc.",28
776,54,74.633,Lotstring,5:11 AM,10:29 AM,10/10/2008,16/09/2000,Aaaahhh!,"Citizens Financial Group, Inc.",54
137,224,214.52,Voltsillam,3:49 PM,5:41 AM,7/10/2004,1/1/2014,Aaaahhhhh!,Marine Petroleum Trust,1
822,214,460.986,Domainer,3:29 AM,4:49 PM,10/3/2013,17/08/2008,Aaaahhhhhhhhhhhhh!,iPath US Treasury 10-year Bear ETN,22
978,8,462.994,Alpha,6:58 PM,5:14 PM,9/3/2009,11/2/2008,Aaaahhhhhh!,"Boston Private Financial Holdings, Inc.",14
446,114,469.918,Domainer,10:56 AM,7:22 AM,30/09/2007,22/08/2002,Aaaahhhhhhhhhhhhh!,"KalVista Pharmaceuticals, Inc.",65
63,187,173.179,Bitwolf,9:56 AM,4:51 PM,21/11/2010,29/08/2006,Aaaahhhhhhhhh!,Uniti Group Inc.,7
373,249,401.223,Y-Solowarm,10:26 PM,12:15 AM,9/1/2017,23/01/2009,Aaaahhhhhhhhh!,"Alphatec Holdings, Inc.",27
88,1,138.245,Duobam,6:16 PM,12:35 AM,17/08/2006,23/12/2006,Aaaahhhhhhhhhhh!,PureFunds ETFx HealthTech ETF,34
1000,44,392.594,Redhold,11:38 PM,4:23 PM,8/8/2010,20/05/2002,Aaaahhhh!,Trimble Inc.,11
561,226,186.37,Voltsillam,2:58 AM,3:11 PM,3/8/2015,10/1/2008,Aaaahhhhhhhhhhhhhhh!,Veeco Instruments Inc.,69
131,208,426.547,Regrant,10:27 AM,7:35 AM,15/10/2005,27/07/2011,Aaaahhhhhhhhhhhhhhh!,Dana Incorporated,58
475,194,190.242,Treeflex,2:39 AM,5:54 PM,6/9/2009,22/04/2016,Aaaahhhhhh!,Fidelity Nasdaq Composite Index Tracking Stock,93
462,165,229.055,Sonsing,12:10 AM,1:23 PM,31/10/2005,14/07/2002,Aaaahhhhhhhhhhhhh!,"Interpublic Group of Companies, Inc. (The)",90
474,186,343.797,Vagram,5:13 PM,9:53 PM,4/3/2013,4/8/2016,Aaaahhhh!,"Owens-Illinois, Inc.",82
534,37,361.998,Ronstring,5:25 PM,6:16 PM,30/08/2010,23/03/2003,Aaaahhhhhhhhhhhhh!,"HealthEquity, Inc.",14
484,106,76.933,Zoolab,4:02 PM,9:48 PM,1/5/2010,28/12/2001,Aaaahhhh!,NGL ENERGY PARTNERS LP,33
679,162,173.578,Matsoft,9:33 AM,10:22 PM,9/2/2009,12/3/2001,Aaaahhhhhhhhhhhhh!,First Trust NASDAQ-100- Technology Index Fund,39
655,238,255.143,Tin,7:27 PM,9:19 PM,12/8/2002,16/07/2004,Aaaahhhhh!,Solar Capital Ltd.,39
651,241,198.279,Rank,8:57 AM,9:07 PM,23/12/2009,21/12/2002,Aaaahhhh!,Kenon Holdings Ltd.,12
364,235,267.677,Fintone,1:39 PM,5:45 PM,14/04/2003,12/8/2004,Aaaahhhhhhhhhhh!,Invesco Plc,33
979,235,111.84,Flowdesk,4:26 PM,4:19 AM,24/09/2006,19/07/2001,Aaaahhh!,Aircastle Limited,41
475,179,360.885,Regrant,10:59 AM,3:33 AM,22/07/2002,5/9/2014,Aaaahhhhhhhhhhhhh!,Sharps Compliance Corp,93
267,245,469.134,Ventosanzap,5:58 AM,3:24 AM,4/2/2010,9/1/2007,Aaaahhhhhhhhhhhh!,Amarin Corporation plc,4
389,55,309.346,Domainer,7:16 AM,4:44 PM,7/7/2004,31/01/2005,Aaaahhhhhhhhhhh!,Cognex Corporation,63
737,232,459.124,Ronstring,4:08 PM,1:21 AM,17/10/2016,20/12/2014,Aaaahhhhhhhhhhhh!,CBS Corporation,56
679,68,9.962,Rank,3:01 AM,3:32 PM,30/03/2009,31/07/2002,Aaaahhhhh!,iShares MSCI Brazil Small-Cap ETF,42
678,188,218.882,Viva,7:41 AM,9:13 AM,12/7/2000,13/09/2013,Aaaahhhhhhh!,Wintrust Financial Corporation,73
763,236,66.209,Flowdesk,3:31 AM,9:47 AM,10/9/2015,25/07/2012,Aaaahhh!,Silver Run Acquisition Corporation II,19
852,170,294.477,Cardify,12:33 PM,12:31 PM,1/4/2014,31/01/2003,Aaaahhhhhhhhh!,"Home Federal Bancorp, Inc. of Louisiana",98
993,139,482.208,Prodder,10:55 AM,11:02 AM,2/6/2009,30/03/2003,Aaaahhhhhh!,"StarTek, Inc.",37
619,138,1.713,Bytecard,6:47 PM,10:54 AM,3/4/2014,15/06/2001,Aaaahhh!,Horizon Technology Finance Corporation,4
419,9,366.765,Tin,6:38 PM,7:50 PM,17/08/2007,23/08/2013,Aaaahhhhhhhhhhh!,Brookfield Business Partners L.P.,51
925,119,295.477,Namfix,7:18 PM,10:15 AM,3/10/2002,15/10/2016,Aaaahhhhhh!,BB&T Corporation,15
108,249,88.11,Holdlamis,5:08 PM,3:32 AM,1/12/2010,4/6/2016,Aaaahhhhhhhhhhhhh!,Patheon N.V.,59
337,194,48.725,Quo Lux,6:05 AM,8:54 AM,2/11/2014,27/10/2012,Aaaahhhhhhhhhh!,Monotype Imaging Holdings Inc.,16
244,70,338.691,Redhold,10:22 AM,7:36 PM,30/09/2014,6/7/2016,Aaaahhhhhhh!,"National Health Investors, Inc.",84
654,123,182.459,Duobam,7:47 AM,12:36 PM,30/07/2008,17/02/2006,Aaaahhhhhhhh!,"MainSource Financial Group, Inc.",7
611,76,367.277,Cardify,3:32 AM,8:11 PM,17/04/2003,8/10/2009,Aaaahhhhhhhhhhhhh!,"Ominto, Inc.",17
556,164,246.188,Voyatouch,10:21 AM,9:25 AM,30/12/2010,14/02/2013,Aaaahhhhhhhhhhhhhhh!,"Full House Resorts, Inc.",85
362,99,396.662,Sonsing,8:24 AM,4:12 PM,9/3/2002,11/2/2001,Aaaahhhhhhhhhhh!,Kemper Corporation,55
193,221,419.206,Trippledex,1:31 AM,12:36 AM,16/11/2005,22/10/2014,Aaaahhh!,CF Corporation,89
77,25,381.185,Bamity,11:28 AM,5:59 AM,23/05/2008,23/09/2013,Aaaahhhhhh!,Frank&#39;s International N.V.,63
936,108,348.151,Cookley,8:46 AM,1:55 PM,25/11/2015,13/06/2005,Aaaahhhhhhhhhhhh!,STRATS Trust,53
162,211,269.965,Sub-Ex,12:14 AM,4:47 AM,2/8/2009,11/3/2005,Aaaahhhhhhh!,Cinedigm Corp,61
308,26,29.447,Tempsoft,10:13 AM,2:16 AM,20/08/2001,30/11/2001,Aaaahhhhhhhhhhhhhh!,General Finance Corporation,60
944,8,216.185,Fixflex,11:41 AM,11:22 PM,26/09/2011,4/6/2005,Aaaahhhhh!,Tech Data Corporation,16
106,74,396.809,Overhold,7:13 AM,8:59 PM,6/7/2002,27/05/2004,Aaaahhhhhhhhhh!,Ducommun Incorporated,35
576,164,152.393,Subin,4:41 AM,8:22 AM,24/02/2012,10/6/2011,Aaaahhhhhhhhh!,Occidental Petroleum Corporation,43
905,8,409.245,Latlux,4:34 PM,5:57 AM,24/10/2000,20/09/2005,Aaaahhhhhhhhhhh!,Blackstone GSO Senior Floating Rate Term Fund,99
545,46,147.111,Vagram,6:50 AM,7:25 PM,29/04/2014,23/03/2005,Aaaahhhhhhh!,First Trust TCW Opportunistic Fixed Income ETF,28
628,66,480.961,Regrant,7:47 PM,2:43 AM,27/08/2001,13/07/2001,Aaaahhhhhh!,WAVE Life Sciences Ltd.,76
882,21,131.492,Stim,4:20 AM,11:21 PM,14/03/2008,5/5/2014,Aaaahhhhhhhhhhh!,Torchmark Corporation,28
26,101,336.799,Temp,8:56 AM,9:42 PM,10/8/2014,11/7/2005,Aaaahhhhhhhhhhhhhhh!,Two Harbors Investments Corp,38
146,8,235.281,Toughjoyfax,11:52 AM,3:16 PM,17/09/2004,16/03/2012,Aaaahhhhhhhh!,Teekay LNG Partners L.P.,55
513,203,79.413,Y-find,8:57 AM,3:30 AM,24/01/2004,30/11/2016,Aaaahhhhh!,KB Home,40
784,137,369.488,Wrapsafe,7:54 PM,4:37 AM,17/11/2016,4/6/2015,Aaaahhhhhhhhhhh!,Gerdau S.A.,87
948,164,262.635,Trippledex,5:30 AM,11:08 PM,19/02/2008,13/05/2006,Aaaahhhh!,"MoSys, Inc.",12
536,107,12.947,Y-Solowarm,4:51 PM,4:47 AM,26/12/2005,19/12/2000,Aaaahhhhh!,"Banco Santander, S.A.",2
637,32,205.791,Ventosanzap,4:09 PM,1:16 PM,14/05/2012,11/8/2006,Aaaahhhhhhhhhh!,Astrotech Corporation,76
440,230,148.503,Zamit,2:18 PM,8:10 AM,21/01/2008,19/06/2012,Aaaahhhh!,GATX Corporation,43
280,12,24.665,Stronghold,9:20 AM,11:04 AM,29/06/2008,5/10/2015,Aaaahhhhhhhhhhh!,UBS AG,22
657,66,385.444,Flowdesk,7:28 PM,12:53 AM,17/06/2003,19/01/2011,Aaaahhhhhhhh!,Highpower International Inc,88
464,185,50.115,Lotlux,3:08 PM,8:27 PM,14/12/2014,19/07/2010,Aaaahhhhhhh!,"CommerceHub, Inc.",15
334,192,292.439,Konklux,10:42 PM,2:24 PM,22/03/2015,13/09/2007,Aaaahhh!,TAT Technologies Ltd.,43
48,20,443.008,Keylex,1:37 PM,10:21 AM,9/7/2006,7/8/2013,Aaaahhhhhhhh!,GMS Inc.,80
355,14,389.579,Lotstring,11:01 PM,1:51 PM,4/10/2004,2/11/2000,Aaaahhhhhhhhhhhhhh!,Astronics Corporation,23
582,61,467.636,Overhold,5:24 AM,4:58 AM,13/12/2013,10/5/2014,Aaaahhhhhhh!,"Mitek Systems, Inc.",86
97,30,277.089,Job,5:11 PM,6:35 PM,21/06/2011,22/12/2013,Aaaahhhhhhhhhhhhh!,"Customers Bancorp, Inc",50
694,50,142.605,Zoolab,1:23 AM,4:13 PM,24/01/2012,16/04/2006,Aaaahhh!,Westamerica Bancorporation,80
966,33,237.895,Quo Lux,2:51 PM,4:54 PM,10/8/2011,28/04/2010,Aaaahhhhh!,Tantech Holdings Ltd.,2
291,205,24.607,Overhold,7:58 AM,7:43 PM,18/09/2012,26/04/2004,Aaaahhhhhhhh!,"Civista Bancshares, Inc. ",34
933,65,272.419,Alphazap,8:46 PM,1:15 PM,4/1/2007,31/12/2010,Aaaahhhhhhhhh!,Knowles Corporation,26
301,137,437.357,Sub-Ex,1:38 AM,7:09 PM,29/10/2002,26/01/2013,Aaaahhhhhhhhhhhhhh!,"Ecology and Environment, Inc.",61
420,20,299.614,Toughjoyfax,4:58 AM,7:39 PM,12/8/2013,20/05/2004,Aaaahhhhhhhhhh!,GSV Capital Corp,100
796,152,452.743,Treeflex,8:32 PM,11:14 PM,29/05/2010,10/5/2015,Aaaahhhhhhhhhhh!,Synaptics Incorporated,31
628,6,300.549,Toughjoyfax,7:01 AM,7:54 PM,28/03/2002,21/10/2008,Aaaahhhhhhhhhhhhh!,"Mesa Laboratories, Inc.",76
587,88,71.34,Prodder,12:08 PM,3:45 AM,5/10/2001,15/10/2007,Aaaahhhhhhhhhh!,"PGT Innovations, Inc.",93
28,158,59.054,Y-Solowarm,11:37 AM,9:34 AM,26/10/2016,5/9/2002,Aaaahhhhhhhhhhhhh!,"Templeton Global Income Fund, Inc.",52
125,150,135.32,Ventosanzap,11:04 PM,10:19 PM,3/9/2009,14/10/2003,Aaaahhh!,"Quantenna Communications, Inc.",77
541,169,440.629,Keylex,3:50 PM,5:33 PM,15/03/2001,4/11/2006,Aaaahhhhh!,Asure Software Inc,33
486,1,235.435,Temp,12:25 AM,10:10 AM,14/02/2010,14/10/2003,Aaaahhhhhhhhh!,Crestwood Equity Partners LP,60
750,68,44.013,Zoolab,2:03 AM,6:20 AM,7/3/2007,30/05/2010,Aaaahhhhhhhh!,"Independence Contract Drilling, Inc.",9
958,6,127.09,Tempsoft,7:58 PM,12:57 AM,4/10/2007,12/5/2004,Aaaahhhhhhhhh!,Citigroup Inc.,31
451,137,150.126,Asoka,4:45 AM,7:07 AM,16/04/2012,24/08/2011,Aaaahhhhhhhhhh!,Precision Drilling Corporation,53
