PROGRAM_ID,NEWS_NAME,NEWS_TYPE,NEWS_HOUR,CAMERAMAN_ID,DIRECTOR_ID,PRODUCER_ID,TITLE_SPONSOR
660,Fadel-Kuhn,Darbey,8,3326,1734,295,Izio
883,Wyman-Bode,Shaul,8,3015,2347,114,Eire
740,Adams-Christiansen,Keepe,23,4570,613,786,Kwinu
582,Olson and Sons,Toomer,18,2114,3330,620,Oodoo
359,Harris-Heathcote,Labet,15,894,3815,261,Mita
859,"Lowe, Huels and Crooks",Ashall,5,2078,1986,997,Vimbo
406,"Cronin, Cormier and Thiel",Foxley,9,1384,4322,541,Zoombox
283,Ondricka LLC,Pennycuick,7,3075,4094,173,Dynabox
154,"Osinski, Lynch and Kling",Cornner,18,150,1654,950,Trudeo
604,Batz Group,Rowbrey,11,1432,3108,927,Avavee
913,"Rempel, Erdman and O'Reilly",Connelly,15,3239,3561,881,Geba
899,Marquardt Inc,Pitney,18,4058,1067,201,Shufflester
276,Smitham-Lebsack,Sergeaunt,20,3706,965,235,Skiptube
693,Hilll LLC,Kornilov,18,1837,4141,834,Mynte
232,"McCullough, Hudson and Christiansen",Orrice,9,4711,1789,519,Roomm
821,O'Kon Inc,Cobson,9,2078,3171,249,Topicblab
362,Larkin-Torp,Presdie,6,3298,2287,324,Wikido
118,Stoltenberg-Gorczany,Howsin,18,3994,4269,443,Yombu
894,Kilback Inc,Oddy,22,1641,4382,716,Dablist
139,Goyette Inc,Holyard,22,2739,2356,485,Fatz
448,"Rippin, Dicki and Ebert",Gianulli,14,1388,2983,322,Yacero
706,Feil-Altenwerth,Rennels,2,2432,2292,704,Quimm
468,Mitchell and Sons,Gatland,13,1222,4338,563,Skinix
101,Yundt and Sons,Americi,0,4353,304,263,Meejo
157,Hahn-Walker,Croxon,9,364,1646,822,Dablist
526,Goodwin Inc,Danilovitch,8,3342,3437,322,Edgewire
280,Funk-Cartwright,Jerams,6,4833,2391,268,Yamia
935,Abbott and Sons,Kemball,4,2625,3093,795,Podcat
466,Turcotte Inc,Willingam,21,687,1262,660,Livepath
464,"Eichmann, Beahan and Grady",Presnall,12,2779,418,186,Tekfly
939,Wehner LLC,Piller,24,2893,1515,713,Vidoo
989,Bashirian Group,Lucchi,18,1803,819,806,Quinu
109,Kessler Inc,Amburgy,4,3065,4079,879,Yamia
527,Homenick Inc,Souch,9,2698,3355,928,Demizz
508,Keebler Group,Westgate,11,504,2710,850,Jayo
203,Dibbert-Mayer,Pieterick,0,181,2079,739,Browsezoom
251,Mitchell LLC,Palethorpe,14,3657,3987,553,Oyoloo
965,Feest and Sons,Darell,1,2694,2094,196,Bubbletube
963,Kassulke-Lesch,Posselwhite,15,2675,1574,841,Realmix
789,Upton-Nienow,Elcum,13,834,2989,817,Yotz
300,"Zieme, Sporer and Walsh",Cockell,13,2082,2059,774,Wikivu
903,Gerhold-Becker,Bolton,5,1393,3398,974,Avamm
458,"Kilback, Fritsch and Klein",Harrop,5,3744,264,807,Divanoodle
806,Kihn and Sons,Watterson,23,663,3865,582,Viva
663,Bergnaum and Sons,Goldsbrough,23,3820,825,510,Bubbletube
149,Mante-Glover,Syson,8,1031,2203,764,Skalith
431,"Marvin, Hamill and Ortiz",Tryme,0,2125,4813,976,Viva
716,Leuschke-McGlynn,Ironmonger,17,2982,3872,435,Yakijo
705,Herman-Marvin,Wiz,15,2115,195,151,Skimia
873,"Howell, Satterfield and Yost",Jossum,14,4233,2141,181,Innojam
281,Swaniawski-Langworth,Chadband,17,4330,1437,898,Yacero
422,Mueller-Kuhlman,Canham,21,2140,1836,543,Zoomlounge
899,VonRueden and Sons,Hagland,22,3856,4642,220,Tanoodle
870,Dooley-Stokes,Dunphy,8,555,2026,719,Roomm
673,Powlowski-O'Kon,Grunnell,18,4804,4115,645,JumpXS
744,"Kerluke, Hermann and Beer",Caines,8,3641,2911,941,Devbug
335,"Lindgren, Crooks and Dickinson",Philippart,19,561,2298,910,Dynabox
817,Carroll-Williamson,Habbema,13,629,605,819,Wikizz
392,Kuhic-Walker,Loach,8,4454,1572,209,Snaptags
657,Krajcik-Erdman,Gallifont,14,2978,2650,801,Rhynoodle
173,"Cassin, Zieme and Ondricka",Dowsett,4,3983,1372,816,Centizu
928,"Crona, Lakin and Brakus",Fleury,18,345,3898,315,Dabtype
893,Kovacek-Cassin,Ivashin,14,2412,2501,191,Jabbertype
677,"Cummings, D'Amore and Greenholt",Nisco,7,367,868,287,Voomm
821,Corkery-Cartwright,Amort,23,2352,4078,897,Pixope
771,"Boyer, Tremblay and Lynch",Martygin,1,3679,4026,849,Jaxnation
714,Walsh-Bosco,Kittow,9,4603,402,600,Flashspan
613,"Ferry, Batz and Gerlach",Simka,0,2411,1277,312,Skaboo
999,Shields-Schinner,Opie,21,4883,3078,324,Livepath
100,Harber-Roberts,Brunke,5,2259,2950,439,Zoomlounge
661,"Yundt, Schinner and White",Standen,0,3384,1441,162,Yombu
696,Senger-Jacobi,Maylour,1,2446,1229,490,Fivespan
697,Champlin-Hackett,Bome,23,2152,1113,430,Digitube
398,Corwin Group,Clearie,0,799,4572,942,Devify
947,"Feil, Emard and Hettinger",McLugaish,12,4006,1354,817,Agimba
923,"Kreiger, Pacocha and Altenwerth",Banting,14,190,3072,897,Photolist
806,"Boyer, Kirlin and Gerlach",Grills,8,4191,1436,841,Quatz
903,Frami-Kulas,Orlton,3,1449,3685,640,Oyoloo
218,Block-Reilly,Krzysztof,0,3151,4718,149,Myworks
974,"Roberts, Cartwright and Trantow",Thody,1,3726,664,467,Wordware
587,Price-Gleason,Vigar,1,1801,3232,640,Meembee
512,"Zieme, Goyette and Hartmann",Flynn,21,1033,3365,789,Devcast
331,Eichmann LLC,Girardini,3,1344,3088,749,Oozz
847,Gislason-Jerde,Gerbi,17,3896,3700,852,Trudeo
979,"Sauer, Bashirian and Kuphal",Gertray,10,4481,4464,544,Eare
969,Hyatt Group,Borgne,23,1208,3124,587,Quinu
538,Stokes Group,Chin,4,1419,3425,660,Jaxnation
438,"O'Hara, Schroeder and Abernathy",Stainfield,17,3978,4944,168,Mynte
954,Reynolds-McKenzie,Iacobassi,24,2120,1799,411,Fatz
924,"Zulauf, Huels and O'Conner",Kinvan,4,1118,3326,778,Latz
541,Turner-Hoppe,Jago,11,3485,3910,450,Vipe
222,Green-Russel,Conlon,13,2862,1933,285,Flashspan
181,"Morar, Ferry and West",Beauman,15,4924,1464,170,Livepath
656,"Breitenberg, Moore and Schuppe",Arkcoll,12,2761,2434,255,Topdrive
880,Ward-Okuneva,Rutgers,2,3265,3824,406,Flashpoint
531,Ledner-Prohaska,Pachmann,2,4724,2620,622,Voonix
402,"Bernier, Zieme and Mante",Clynter,2,4611,4847,702,Browsetype
675,"Dare, Miller and Hand",Pfeuffer,18,1294,3964,769,Einti
179,Erdman LLC,Fincher,15,1443,3024,547,Dabvine
830,Treutel LLC,Simukov,6,1984,2945,811,Twinte
882,Bergnaum-Carter,Phinnessy,1,523,2249,199,Skipstorm
803,Larson Inc,Steynor,23,4087,1139,737,Meezzy
328,Ortiz Group,Fredson,6,655,312,172,Brainsphere
807,"Bahringer, Keeling and McLaughlin",Matis,19,1947,2118,425,Photobean
261,Rolfson-Trantow,Kobierra,4,4659,1253,541,Edgeify
352,Kunze-Bins,Lindborg,19,550,2007,461,Feedspan
155,Streich and Sons,Piddle,16,3335,2554,410,Dynabox
642,"Yundt, Hirthe and Langworth",Pettitt,14,1143,3778,983,Talane
959,Bechtelar-Hand,Lambdon,13,4247,3349,764,Twimm
217,Keeling-Schowalter,Haack,8,3516,2750,838,Zoomzone
976,"Sipes, Kulas and Gerhold",Lovekin,6,3715,500,276,Flashdog
657,Yost-Kerluke,Levinge,24,3405,3617,777,Twinder
974,"Rowe, Konopelski and Torp",Fassam,9,4917,2229,933,Yodoo
245,Hammes-Waters,Rominov,19,3273,4041,689,Meevee
194,Zboncak Inc,Hundley,24,3853,4519,991,Cogilith
855,Ankunding-Hagenes,Piggens,10,4369,3645,504,Mybuzz
774,Kris-Ortiz,Fernant,6,729,1532,971,Wordware
821,Batz Inc,Peaker,1,1038,1413,771,LiveZ
293,"Considine, Walsh and Green",Pickston,13,1259,3256,605,Tagcat
640,"Hyatt, Bradtke and Lind",Favelle,23,3866,4021,361,Plajo
214,Bednar Inc,Clayfield,9,3713,4568,264,Layo
757,Howe LLC,Mithon,22,3351,4038,792,Snaptags
700,"Quigley, Wisozk and Toy",Kunat,3,1782,2584,839,Lajo
669,Cummings-Farrell,Braden,9,1256,3849,701,Zoomcast
772,Jacobs-Windler,Riall,5,3206,1898,723,Kanoodle
130,Cummings Group,Chevalier,22,3870,2261,858,Wikizz
155,Altenwerth-Cummerata,Chevolleau,6,569,3599,348,Devpulse
954,Erdman LLC,Brennen,9,1495,1634,722,Voonyx
297,Schimmel-Abernathy,Brosnan,10,2022,4666,326,Jaxworks
552,Bahringer-Connelly,Caldero,5,3292,3896,341,Voolith
678,Farrell-Batz,Edridge,2,1695,152,528,Yakitri
653,Tromp LLC,Janczak,0,1728,1833,881,Dabvine
147,"Hartmann, Frami and Wilderman",Ettritch,5,4946,4873,452,Voomm
776,McKenzie Group,Beig,10,4414,3062,591,Dynava
349,Welch Group,Harome,19,2752,822,731,Jayo
446,Gulgowski Inc,Saice,1,2875,3845,561,Quimm
148,Lakin-Rodriguez,Anan,21,3970,3592,100,Shufflebeat
511,"Ruecker, Osinski and Nolan",Beckerleg,18,328,3231,206,Rhyloo
974,Krajcik LLC,Bough,9,4045,266,167,Jabberstorm
674,Kihn-Koss,Kibel,14,4709,2457,553,Skippad
216,Kerluke-Tremblay,Croxley,3,3760,4189,145,BlogXS
760,Klein and Sons,Antoniutti,21,4496,170,280,Yotz
462,Yost Group,Prebble,8,1122,426,915,Twinder
477,Rodriguez LLC,Allbrook,8,2099,4836,845,Dazzlesphere
796,Kutch-Bailey,Roxburgh,4,2929,622,505,Realblab
367,Renner-Homenick,Markl,13,2184,1819,757,Dabtype
694,Johns-Christiansen,Mularkey,13,289,2945,607,Skyble
204,Cummings-Littel,Ruttgers,18,3847,4925,841,Jamia
874,Langworth-Kuphal,Pimlett,16,4967,1032,375,Kimia
421,"Mraz, Schultz and Grant",Willmett,3,3258,1350,723,Oyonder
278,Pouros-O'Hara,Radband,24,609,4246,681,Oyoyo
635,"Berge, Kutch and Waelchi",Shipcott,4,2010,751,958,Gabtype
331,Gutmann LLC,Oblein,2,2283,3356,106,Cogilith
169,"VonRueden, Veum and Anderson",Cocklin,24,962,2046,944,Mybuzz
270,Marks-Jones,Humble,0,4993,4351,564,Twinder
652,"Morar, Hirthe and Feeney",Gillings,23,3418,4806,936,Voomm
834,"Hilpert, Walter and Swaniawski",Heskey,5,3490,3304,271,Skyndu
211,"Hartmann, Lueilwitz and Goldner",Ambrosetti,0,111,3384,649,Youtags
294,"Wintheiser, Stoltenberg and Hermann",Mayston,12,1265,2374,862,Photofeed
381,Schamberger-Herman,Nuzzetti,22,1875,4984,872,Skinix
399,"VonRueden, Schulist and Auer",Ebben,1,318,1587,148,Vinte
402,Buckridge Group,McGawn,23,4529,2215,784,Oyonder
853,Ledner-O'Hara,Zanassi,16,1420,876,630,Gigabox
699,Mertz Inc,Lademann,3,1812,868,579,Jetwire
138,Jerde-Altenwerth,Phillins,0,4207,4607,482,Fanoodle
229,"Spinka, Pfeffer and Wyman",Millier,20,826,904,713,Flashdog
811,Boyle-Auer,Flobert,23,994,2364,115,Topicshots
387,"Will, Johnson and Mosciski",Staner,1,859,4772,399,Dabvine
452,Ebert-Hermann,Frankish,1,3768,847,709,Youspan
644,"Langworth, Pouros and Gerhold",Hudghton,19,1121,496,374,Plambee
490,Bins-Pollich,Hanfrey,11,1232,1035,502,Twitterbeat
675,McKenzie-Yundt,Pelman,3,3592,3769,296,Feedfire
781,"Conn, Price and Leffler",Shepley,18,1436,3643,207,Thoughtbeat
739,Buckridge-Ratke,Lepere,5,3572,2668,172,Plambee
483,"Nader, Pollich and Blanda",Everiss,17,4540,4029,941,Yata
778,Baumbach and Sons,Piff,21,708,3897,168,Realcube
580,Barton and Sons,Aaronsohn,3,3602,2613,426,Fiveclub
337,Hackett-Rohan,Minard,7,4445,1231,252,Quimba
429,Grant-Barton,McHan,11,2783,429,768,Yamia
574,Zemlak Inc,Cusick,16,606,2822,214,Meetz
801,"Gutmann, Ratke and Ernser",Dunridge,1,4551,3368,305,Yabox
744,Bogisich Inc,Brushfield,9,1384,2576,637,Jetpulse
703,Hoppe-Rice,Gott,8,1933,1587,792,Dynazzy
206,"Howell, Kub and Welch",Ashwood,2,3680,3623,488,Voomm
712,McKenzie-Nolan,Breeze,4,2309,4752,281,Eazzy
901,Von LLC,Fulmen,0,3868,1273,833,LiveZ
324,"Schamberger, Rohan and Mohr",Pott,18,331,720,911,Trupe
222,"Paucek, Murray and Moen",McCome,5,3690,4296,867,Livefish
688,"Zemlak, Hudson and Gutkowski",Kleinlerer,21,2803,2463,845,Skipfire
375,Abshire Group,Edlington,21,258,1988,960,Edgeclub
769,"O'Kon, Grant and Jerde",Pearman,12,2707,4637,606,Thoughtstorm
892,Torphy Inc,Othick,20,4454,2188,754,Miboo
570,Satterfield-Anderson,Kuhlmey,21,3682,3885,740,Jabbercube
313,"Sauer, Hudson and McLaughlin",Issacov,16,4354,263,777,Zoonder
780,"Leuschke, Legros and Huel",Darwin,15,838,3261,138,Oyoba
653,Willms and Sons,McKeveney,13,3859,455,851,Photospace
553,Jacobs-Zboncak,Cusworth,15,2706,1892,514,Edgeify
599,"Muller, Jacobson and Stiedemann",Le Houx,4,608,4894,979,Kayveo
438,Kirlin-Pagac,McAdam,2,3994,3978,107,Riffpath
713,Gottlieb and Sons,Sawell,7,623,1732,922,Devcast
604,"Bradtke, Lindgren and Windler",Saffrin,16,1521,4333,947,Linkbridge
385,Skiles-Gibson,Oertzen,16,843,3060,242,Babblestorm
556,"Block, Schulist and Fay",Kalisz,2,4520,4086,379,Edgeblab
533,Stoltenberg and Sons,Duerden,14,2517,1427,892,Thoughtsphere
897,Leuschke-Halvorson,McLay,14,2979,202,483,Eire
446,Hilpert Inc,Northage,15,1171,4988,671,Aibox
268,"Stroman, Altenwerth and Bahringer",Balfe,10,3661,2996,194,Flashpoint
491,"Altenwerth, Altenwerth and Hettinger",Suttill,24,2406,2498,328,Trilia
395,Heller-Kemmer,Howsam,5,3698,3859,316,Skyble
766,Crona Inc,Blakebrough,13,1130,1282,771,Gigabox
850,Greenholt Group,Venning,8,597,4141,293,Zooxo
457,"Gibson, Hodkiewicz and Kshlerin",Bailiss,21,2119,446,762,Edgetag
508,Kohler Group,McCreery,19,3061,1187,647,Ailane
797,Vandervort Group,Dittson,6,3163,4608,329,Minyx
822,Bahringer-Koepp,Sarfass,8,2179,852,706,Pixonyx
337,Mertz-Hilll,Robey,7,2841,1300,834,Wikizz
729,Auer Inc,Doubrava,18,1798,3178,490,Skilith
397,Corwin-Boehm,Phant,17,3594,1197,132,Buzzster
218,Wehner LLC,Greatorex,10,1934,4197,941,Youspan
358,Beer-Leannon,D'Orsay,15,2536,2201,294,Jaxworks
806,"Collier, Huel and Ferry",Bandiera,24,893,3850,239,Geba
157,Johns-Stanton,Padwick,18,1320,4728,517,Agimba
378,Legros Inc,Orable,8,504,1087,352,Livefish
358,Keeling Group,Illwell,21,3637,1516,428,Vimbo
336,"Hills, Cremin and Kiehn",Finan,18,117,2380,923,Wordify
970,Spinka-Kemmer,Gilder,1,917,1948,946,Vipe
957,Schmeler Group,Drayn,19,2012,991,188,Twitterbeat
846,"Luettgen, Heidenreich and Will",Logsdale,16,3594,3252,928,InnoZ
395,"Swaniawski, Runte and Cartwright",Blackhurst,17,1213,1318,860,Dabshots
836,"Pagac, Sipes and Douglas",Davidowich,1,109,167,451,Yamia
444,Grimes-Zboncak,Thornley,14,4813,1463,964,Tagchat
722,"Osinski, O'Keefe and Walker",Alentyev,7,1293,1698,417,Flashpoint
692,"Tillman, Halvorson and Brown",Brugh,10,2823,801,347,Photobean
935,Effertz Inc,Swaile,12,787,1361,234,Dazzlesphere
663,"Gottlieb, Hermann and Konopelski",Schulze,7,1906,4892,797,Quinu
724,Gerhold-Kassulke,Dael,15,3766,672,457,Cogibox
616,Morar Group,Yakunikov,19,2309,1821,180,Jetpulse
857,Prosacco Inc,Durrell,21,3441,3743,912,Blogspan
119,Harvey-Kunze,Pendred,12,3745,713,555,Devbug
475,Corwin-Collins,Finicj,9,1108,688,684,Thoughtstorm
542,"Wilkinson, Kuhic and Lockman",Patridge,17,3431,3888,503,Lazzy
179,"Collier, Schultz and Durgan",Trevaskus,22,4617,4485,616,Livetube
381,"Rath, Russel and Bruen",Brookz,22,3962,3178,618,Pixoboo
720,Gusikowski-Dietrich,Gibbin,12,776,3381,504,Meevee
279,"Feest, Beer and Runolfsdottir",Mustin,22,2306,3128,299,Kare
751,"Christiansen, Flatley and Nader",Veart,16,352,4018,367,Babbleopia
552,Hyatt Inc,Danter,13,3016,3684,608,Tazz
361,Willms and Sons,Epgrave,23,4661,1387,794,Devcast
269,Keeling Inc,Underhill,17,1098,2343,387,Browseblab
808,Kozey-Herzog,Bastistini,5,692,4095,129,Dabjam
274,Wunsch Inc,Normavell,10,2499,2027,305,Reallinks
624,"Waters, Schinner and Cassin",Estabrook,4,3291,4535,858,Mydeo
765,McCullough-Wolf,Spilisy,10,3319,2902,226,Oyoyo
342,Stokes-Schaefer,Falkingham,4,302,753,831,Fiveclub
855,Gleichner-Mante,Hatherall,16,2747,4973,899,Blogtag
723,"Miller, Conroy and Lang",Bootton,20,3906,713,848,Thoughtsphere
295,Gorczany-Wiegand,Spellacy,1,2670,3226,529,Jaxbean
420,Grady and Sons,Gabala,8,1062,2521,596,Zoombox
634,Rempel and Sons,Robbe,2,3806,2667,497,Mita
917,"Wilkinson, Hilpert and Connelly",Biernat,12,2183,113,794,Miboo
959,"Weimann, Rodriguez and Swaniawski",Bardell,3,4344,2615,654,Skalith
102,"Little, Conroy and Prosacco",Squibbes,20,4852,3536,791,Voonder
857,Kessler-Parker,Basnall,12,850,4758,566,Gabtype
497,Kling Inc,Greschke,15,3617,1361,739,Miboo
471,Jakubowski-Marvin,Philips,21,1840,469,786,Tagchat
490,Haag-Simonis,Parkyns,11,1373,2371,701,Podcat
674,Brown Group,Tonge,22,4819,3676,253,Mycat
450,Gerhold Inc,Woodman,22,1082,2387,335,Blognation
301,Herzog and Sons,Staresmeare,16,4232,535,516,Meembee
470,Grimes-Yost,Tuxwell,19,2982,761,868,Thoughtbridge
406,"Cremin, Kshlerin and Volkman",Hierro,11,2823,3693,260,Jayo
109,"Lakin, Ortiz and Feest",Iverson,19,1710,3815,742,Einti
869,Schinner and Sons,Goundsy,6,3483,3127,203,Zoomcast
692,Gottlieb and Sons,Kield,6,2515,3660,157,Brainbox
296,Williamson LLC,Miners,14,1614,3367,329,Oba
366,Tremblay Group,Merriment,1,4712,2829,528,Bubblemix
570,Pacocha LLC,Sander,14,3531,4313,834,Kwinu
463,"Jaskolski, Schowalter and Fritsch",Hainge,17,1985,3394,732,Wikido
803,"Cremin, Blick and Simonis",Tellenbrok,1,3765,4668,142,Feedfire
938,Hagenes-Ebert,Lacknor,7,3355,2707,759,Pixoboo
384,Gutmann-Upton,Pinches,23,2728,2157,212,Zoombeat
970,Lind-Stracke,Mayman,5,2272,1480,442,Flipopia
298,Grimes Group,Milius,3,1971,4536,252,Bubblebox
999,"Hessel, Cartwright and Rowe",Durgan,18,4212,1361,649,Meevee
663,Rolfson-Shields,Sharnock,0,2658,2374,350,Meezzy
169,"Price, Parker and White",Chopping,10,597,1252,836,Jetwire
281,Treutel and Sons,Liddell,0,211,743,842,Eayo
422,"Auer, Goldner and Hyatt",Sommerville,7,1893,4057,924,Mynte
776,Wiza-Orn,Ruckert,6,2732,3284,888,Mynte
147,Weimann-Watsica,Roset,19,183,968,516,Mymm
695,Reilly Inc,Malimoe,2,4596,1972,232,Jabberstorm
316,Schneider-Swift,Cosley,18,4971,673,407,Topicware
223,"Gutmann, Goldner and Schmitt",March,1,2667,2208,115,Topicshots
492,Spencer and Sons,Shitliff,18,4442,164,875,Wikizz
