PROGRAM_ID,FILM_NAME,FILM_TYPE,EPISODE_NO,DURATION,DIRECTOR_NAME,PRODUCER_NAME,ACTOR_NAME,ACTRESS_NAME
430,Last Hurrah for Chivalry (Hao xia),Action|Drama,0,55,Roosevelt Gorbell,Yuma Derks,Bernadina Chatain,Langsdon Adamolli
332,Trailer Park Boys,Comedy|Crime,0,188,Eugenie Skeemer,Niki Alsopp,Willetta Showler,Edouard Thomazin
537,Jewel Robbery,Comedy|Crime|Romance,0,93,Dolly Carruthers,Benny Conyard,Tab Spur,Rafa Sarginson
685,Adore,Drama|Romance,0,199,Richie Gorhardt,Bartholomeo Dunstan,Ailyn Daintith,Kathryne Morston
307,Bachelor in Paradise,Comedy|Romance,0,32,Austen Marsy,Hardy Geeraert,Bunni Maty,Kellby Ormes
623,Kauwboy,Drama,0,74,Bree Unwin,Sophey Jozwiak,Clement Simonyi,Glori McAtamney
828,"Carriers Are Waiting, The (Convoyeurs attendent, Les)",Comedy|Drama,0,35,Arleen Oswald,Roberto Pacquet,Yolande Philipard,Torrey Crannell
75,Norwegian Ninja,Action|Comedy,0,33,Thedric Pringle,Gustie Lodwig,William Reyner,Raye O'Cahill
348,"Mother, I Love You",Drama,0,38,Stanwood Eadmead,Ashbey Ateggart,Park Martinez,Ann Bande
305,Cat's Eye,Horror,0,127,Godard McMickan,Eunice Firpi,Gail Herculson,Uriah Kenealy
524,Mystery (Fu cheng mi shi),Crime|Mystery|Thriller,0,182,Adey Beaney,Carmelia Huggill,Lorene Dunkley,Normy Ballay
554,Love at Large,Romance|Thriller,0,43,Tandy Lillecrop,Allayne Rutgers,Ellary Shepcutt,Emili Kellart
202,"Magic of Belle Isle, The",Comedy|Drama,0,212,Marris Dingivan,Neall Siddele,Fabien Lavery,Adriano Varnham
216,Halloweentown,Adventure|Children|Comedy|Fantasy,0,67,Francene Tandey,Woodrow Eblein,Donal Soall,Marian Hinstridge
908,My Girlfriend's Boyfriend,Comedy|Romance,0,218,Flory Yakovitch,Shayna Moorhead,Mamie Parratt,Allayne Talkington
693,Nutty Professor II: The Klumps,Comedy,0,55,Olin Shawl,Margi Piercey,Annetta Hubane,Joellen Huge
947,Gett: The Trial of Viviane Amsalem,Drama,0,94,Shirlene Gillard,Kinna Mollin,Bernadene Mallabund,Helga Broggetti
301,"United States of Leland, The",Crime|Drama,0,196,Barry Bezzant,Sheridan McIlhone,Joscelin Relf,Fonzie Jeaves
545,"Naked Prey, The",Adventure,0,140,Walther Lies,Boyd Fardoe,Sidonia Mycroft,Cheryl Matveiko
304,Mark of the Cop,Crime|Drama|Romance,0,62,Edsel Fryett,Belia Minghella,Zita Lamplugh,Ray Vayne
925,Scissere,Drama,0,30,Alyssa Borgars,Ariadne D'Abbot-Doyle,Francoise Ainsby,Gaven Filde
31,"Walk Among the Tombstones, A",Action|Crime|Mystery|Thriller,0,107,Elayne Brotherton,Aarika Cattrall,Marilyn Tulloch,Donny Dyne
633,Bandits (Bandidos),Action|Adventure|War,0,223,Selle Jephcote,Aveline Rilston,Dermot Garmans,Yolanthe Endacott
473,Shark Tale,Animation|Children|Comedy,0,127,Yettie Annice,Dag Frigot,Daryn Flucks,Rube Woloschinski
116,America Before Columbus,Documentary,0,218,Donella Adamek,Bartlet Cabble,Darnell Schapero,Barclay Donohoe
753,Resident Evil: Retribution,Action|Horror|Sci-Fi|IMAX,0,164,Thorstein Bartholomieu,Rochelle Sarsons,Breena Cashin,Ivie Tixier
842,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre),Horror,0,150,Shanta McGaughey,Monti Stritton,Hayyim McQuode,Hubey Ecclesall
231,Hollywood Shuffle,Comedy,0,48,Gerty Gatlin,Vance Alvin,Juliane Sollom,Napoleon Ferrero
218,Subject Two,Drama|Thriller,0,103,Marietta Sawart,Vivie Swedeland,Skell Lenton,Val Ramsay
449,Standing Still,Comedy|Drama|Romance,0,61,Madel Parminter,Ganny Axtens,Zebulen Sinclar,Meagan Cornell
570,Bad Education (La mala educación),Drama|Thriller,0,158,Huey Venditto,Kenn Crotch,Lilian Gemmill,Ayn Blencowe
567,"Silent Night, Deadly Night Part 2",Comedy|Horror,0,135,Garrek McMonies,Delila Letixier,Jethro Gergolet,Nancey Firebrace
921,Slaves of New York,Drama,0,228,Emilio Tomasz,Simeon Beeden,Artie Lathbury,Faunie Hew
961,"Forsyte Saga, The",Drama,0,213,Flory Girardez,Elora Cossans,Chance Haglinton,Brita Kingsbury
735,Stick,Action|Adventure|Crime|Drama,0,145,Davide Fuster,Merilee Filippello,Benedetta Sweatland,Raychel Dreye
630,Sexual Dependency (Dependencia sexual),Drama,0,56,Farand Morteo,Rianon Eacott,Cecile Lippett,Fania Notton
129,Boys on the Side,Comedy|Drama,0,201,Bev Grigoriev,Alvie Ridgway,Lexie Scutcheon,Octavius Busby
584,"Sentinel, The",Crime|Drama|Thriller,0,172,Tracie Pezey,Zaccaria Chittie,Karlen Birdsall,Peggi Lillecrap
292,Elizabethtown,Comedy|Drama|Romance,0,95,Bret Shapera,Clerissa Carolan,Ronalda Macieja,Fabien Meert
277,The Big One: The Great Los Angeles Earthquake,Drama,0,104,Didi Cookman,Lena Lanaway,Rae Cruttenden,Stella Rackley
544,Now and Forever,Drama|Romance,0,128,Flin Bax,Regen Flippini,Christophorus Sextone,Clementia Scroggins
971,Mr. Robinson Crusoe,Adventure|Comedy,0,148,Miltie O'Caherny,Darcie Eccleshall,Ada Gruczka,Pauline FitzAlan
747,"Good Life, The",Comedy|Drama,0,56,Inglebert Jovis,Genna Garms,Igor Heaven,Gianina Daviot
444,Loser,Comedy|Romance,0,87,Jamal Salmond,Gerri Richie,Ernestine Wilshere,Caroline Bockmann
627,New Best Friend,Drama|Thriller,0,165,Karim Curdell,Abel Vaux,Brander Hastwall,Abbye Lock
770,"Captain Thunder (Capitán Trueno y el Santo Grial, El) (Prince Killian and the Holy Grail)",Adventure,0,169,Pen Moroney,Cass Stirman,Maribeth Hastler,Briant Saltsberg
560,Elvis Meets Nixon,Comedy|Drama,0,167,Tobe Hurdle,Arnaldo Asch,Nicolle Chaundy,Dirk Theuff
986,On Probation (Tiempo de Valientes),Action|Comedy,0,111,Tomi Davies,Livy Paydon,Valene Antonovic,Lena Gotthard
129,Mikey and Nicky,Drama,0,170,Tracee Taffarello,Briggs Whitehair,Peggy Petegrew,Stoddard Biagioni
999,"Green Mile, The",Crime|Drama,0,33,Anders Akister,Margarette Smalcombe,Mia McGuirk,Jeth Hafner
97,C'mon Man,Comedy,0,61,Zondra Verbrugghen,Shelby Wyper,Any Rooper,Sherlock Keizman
337,Frankenstein Must Be Destroyed,Drama|Horror|Sci-Fi,0,169,Morissa Zieme,Elianora Charman,Francesco Elsom,Casar Loreit
601,"Telephone, The",Comedy,0,39,Lewie Bauckham,Conan Scutchin,Adan Chiese,Glenine Lethbury
29,Nixon by Nixon: In His Own Words,Documentary,0,63,Nichole Lindroos,Donnajean Saylor,Esme Van Salzberger,Bailie Niese
207,Gregoire Moulin vs. Humanity (Grégoire Moulin contre l'humanité),Comedy|Romance,0,85,Arin Lawless,Roseann Jenton,Johannes Sangwin,Yehudi Valenta
361,Absolute Power,Mystery|Thriller,0,221,Hedy Louche,Cullen Brann,Jacenta Menichi,Naomi Sproson
447,Dabangg 2,Action|Comedy|Drama|Musical|Romance,0,206,Corliss Houlridge,Willy Jellicorse,Nikos Ashborn,Laureen Pie
866,Another Day in Paradise,Drama,0,122,Rosaline Sedgeman,Genia Lapidus,Alexandra Longfoot,Early Shevels
722,Terry Pratchett: Choosing to Die,Documentary,0,77,Lilith Ianinotti,Friedrick Olorenshaw,Latrena Blakesley,Amelie Moxson
514,Film About a Woman Who...,Drama,0,121,Kimbra Ohrt,Reese Tremmel,Gus Burney,Bev McKeeman
837,Samson and Delilah,Drama,0,214,Jacques Sabie,Anne Gaye,Peirce Peters,Haroun MacPhee
9,"Mystic Masseur, The",Drama,0,99,Tommie Drage,Berthe Ramsdale,Augustine Clarycott,Laney Fosher
285,"Greatest, The",Drama|Romance,0,223,Yetta Terbruggen,Marcella Brenston,Lesly Lenham,Dominga Andrelli
381,Flatfoot on the Nile (Piedone d'Egitto),Action|Comedy|Crime,0,189,Crichton Storrah,Jakie Shrive,Valencia Pellman,Ailyn Skewis
618,Pompeii,Action|Adventure|Drama,0,141,Cornall Muller,Englebert Siggee,Katerina Weins,Clerkclaude Scutchin
269,Black Roses ,Horror|Musical,0,142,Corrina O'Hollegan,Esteban Murrow,Hinda Buttfield,Phaedra Whatham
861,Jackboots on Whitehall,Animation|Comedy|Sci-Fi|War,0,152,Brena Blackford,Wolfie Langley,Roseann Barracks,Cece Raffan
705,Queen Sized,Comedy|Drama,0,160,Vick Gehring,Vernor Abberley,Falito Widger,Cassie Edelmann
892,North Shore,Drama|Romance,0,233,Yolanda Pisculli,Jackie Asple,Darby Shropsheir,Lynnet Savary
129,Still Breathing,Comedy|Romance,0,107,Jonell Dulany,Rochella Owenson,Ephrayim Scally,Christoforo Stroban
330,What Women Want (a.k.a. I Know a Woman's Heart),Comedy|Romance,0,45,Niko Keynes,Danette Dowson,Zachery Erbe,Melisent Frackiewicz
119,Girl 27,Documentary,0,38,Kathe Ticksall,Conrad Brazer,Holli Laboune,Alic Tarborn
331,If a Man Answers,Comedy,0,123,Debera Stalf,Angie MacRirie,Giffy Van Der Weedenburg,Elfie Moore
417,"Ferryman, The",Fantasy|Horror|Thriller,0,235,Corliss Bulch,Emma Toplis,Georgina Rudkin,Torrance Laird
854,Godsend,Drama|Horror|Thriller,0,32,Adelaide Mingus,Celene Epelett,Ally Melmeth,Bobby Maps
867,How to Meet Girls from a Distance,Comedy,0,191,Brade Huggen,Sabina Hatry,Normand Karim,Wynn Buffin
12,Hellboy,Action|Adventure|Fantasy|Horror,0,165,Chic Bowne,Lexine Will,Leola Copo,Elyse Vertey
873,Red Rock West,Thriller,0,154,Vitia Stephens,Gertrude Torfin,Dar Gerckens,Edie Wick
688,Street Fighter: The Legend of Chun-Li,Action|Adventure|Sci-Fi|Thriller,0,157,Heriberto Coveley,Kiley Clampton,Garv Woolward,Keriann Bowes
350,"Courtship of Eddie's Father, The",Comedy,0,227,Rodrique Crome,Katharyn Kobu,Alfredo Ketts,Margo Chuney
57,Cleanskin,Crime|Drama|Thriller,0,155,Giorgio Chadburn,Bastien Gniewosz,Bekki Westoll,Bastian Feely
17,Levottomat 3,Romance,0,55,Cloe Themann,Aindrea Trunks,Whittaker Goodoune,Tedman Arrington
556,Little Lord Fauntleroy,Children|Drama|Romance,0,84,Kathe Cristofor,Yolande Hardware,Elsie Fick,Fowler Barnwill
430,Dangerous Liaisons,Drama|Romance,0,41,Lissie Martynikhin,Karel Bryns,Angela Fores,Norton Postians
294,Suddenly,Crime|Drama|Film-Noir,0,43,Irma Damper,Geraldine Otton,Emmanuel Gilley,Shawna Shoebotham
222,Jack the Bear,Comedy|Drama,0,77,Tanya Douglas,Tessi Gerholz,Tarra Darree,Xerxes Davidai
817,Patty Hearst,(no genres listed),0,157,Wilek McRuvie,Dugald Hirsthouse,Laurence Overbury,Denna Eyckelbeck
771,Spin (You Are Here),Comedy|Romance,0,94,Garland Prettyjohns,Casey Rowan,Frederick Ortega,Baxter Vellden
599,Colpo in canna,Action,0,84,Alex Lambin,Wildon Cotterill,Opalina Birrane,Colleen Teenan
957,Beyond Tomorrow (Beyond Christmas),Drama|Fantasy|Romance,0,99,Candi Pendreigh,Norris Grimestone,Kellyann Robbert,Mackenzie Geraghty
110,Blindman,Western,0,118,Polly Heater,Peg Hiskey,Jayne Weigh,Bobbie Meth
27,Eastern Promises,Crime|Drama|Thriller,0,214,Julina Rysdale,Johan Lowth,Sandy Smout,Trever Lingard
126,Runaway,Action|Animation|Comedy,0,177,Muhammad Thirlaway,Aurilia Kenealy,Filberto Bees,Aurelea Pickerell
971,High Noon,Drama|Mystery|Romance,0,68,Montgomery Geockle,Laurel Lavies,Ian Merryweather,Sasha Ping
373,Strange Behavior,Horror|Mystery|Thriller,0,82,Leonore Bullerwell,Reade Shopcott,Abbot Pinare,Gavra Madeley
84,"Adventures of Picasso, The (Picassos äventyr)",Comedy,0,157,Jan McGray,Pearla Frodsham,Halette Antonsson,Nicoline Holburn
513,The Amazing Dr. Clitterhouse,Crime|Drama|Film-Noir,0,228,Mitch Dilks,Jewelle Vigars,Crissie Spaight,Nancey Markie
795,Dinner at Eight,Comedy|Drama|Romance,0,190,Bridgette McDade,Basil Crose,Ebonee Tarbard,Stephie Gater
526,The Opposite Sex,Comedy|Drama|Romance,0,164,Pet Flott,Ulises Roubeix,Ruggiero Gery,Thoma Pusill
983,Law and Order,Action|Romance|Western,0,42,Pascal Clear,Eydie Rozea,Bennett Peres,Nevins Nenci
448,Love & Sex,Comedy|Drama|Romance,0,173,Gwennie Wisniewski,Frederique Sermin,Mina Jensen,Laurel Ferrick
255,Penthouse,Comedy|Crime|Drama,0,157,Blaire Pampling,Aleen Passo,Trixy Eakle,Harold Klampt
93,"Pink Panther Strikes Again, The",Comedy|Crime,0,101,Matelda Entissle,Aldous McClinton,Laurie Bisgrove,Tomasina Di Maria
658,I Am (Jestem),Drama,0,223,Milka Corking,Oriana Pindell,Elinore Jent,Townie Bichard
115,"Five Obstructions, The (Fem benspænd, De)",Documentary,0,238,Augie Whittek,Arda Tows,Redd Vant,Cordie Dickie
770,Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows),Adventure|Animation|Comedy,0,154,Marjie Mokes,Sibbie Healing,Mike Rilings,Lanny Ambresin
420,Tattooed Life (Irezumi ichidai),Crime|Drama,0,221,Jessa Halls,My Dowson,Darb Winscum,Grantham Tomankiewicz
457,Society,Horror|Mystery,0,186,Ronny Gerbel,Janith Yeardley,Paddie Donnelly,Ted Ferrulli
343,Hard Candy,Drama|Thriller,0,110,Fairleigh Moreinis,Rickie Giacomuzzi,Marabel Pavkovic,Huey Mayworth
444,Derailed,Drama|Thriller,0,192,Niven Pillinger,Nancey Fice,Andreana Lantry,Perla Mathou
926,Salmon Fishing in the Yemen,Comedy|Drama|Romance,0,198,Waldo Miguet,Dennie Caston,Basia Raubenheimers,Gordon Thoma
123,"7th Voyage of Sinbad, The",Action|Adventure|Fantasy,0,193,Jeffy Boskell,Gustaf Black,Felisha Barkas,Warner Vasyunin
447,Sonny,Crime|Drama,0,58,Kahlil Northage,Nicola Blackater,Garik McMechan,Abramo Caris
193,Only God Knows (Sólo Dios Sabe),Drama|Mystery|Romance,0,57,Sissy Dewsbury,Henry Shallcross,Dorella Hawford,Tamar Rustedge
581,56 Up,Documentary,0,210,Magdaia Standall,Enriqueta Blabey,Denise Gravie,Maire O'Gleasane
944,"Immigrant, The",Comedy,0,89,Standford Leake,Teressa Coopland,Cahra McPhaden,Grayce O'Cooney
32,Hatchet,Comedy|Horror,0,64,Alissa Leason,Tymon Heinlein,Samuel Postan,Isabel Grumley
902,102 Minutes That Changed America,Documentary,0,62,Wandis Rubinek,Zelma Dungate,Tammara Costigan,Gracie Etoile
468,Harlan: In the Shadow of Jew Suess (Harlan - Im Schatten von Jud Süss),Documentary,0,143,Mycah Padrick,Elna Reedie,Kylynn Langland,Angelica Lewsley
28,One Point O,Drama|Mystery|Sci-Fi|Thriller,0,42,Brenda Cowp,Adriane Van de Velde,Byrann Narbett,Iseabal Peyes
306,"Honey, I Blew Up the Kid",Children|Comedy|Sci-Fi,0,107,Kyle Varty,Matty Venour,Deny Hance,Averill Fiddiman
191,Thief of Hearts,Drama|Thriller,0,49,Toby Gosby,Amandie Oxbe,Josy McPaike,Thomas Pargetter
885,Open House ,Crime|Drama|Thriller,0,233,Leigha Claussen,Kamila Clues,Colet Mackison,Marie-jeanne Coult
981,Zerophilia,Comedy|Romance,0,222,Marguerite McGall,Viv Dene,Helaina Blindt,Reggi Maggill'Andreis
798,Dear John,Drama|Romance|War,0,189,Carmela Bomb,Johanna Duchasteau,Terencio Skurray,Ailyn Lippitt
46,Manhattan Baby,Horror,0,30,Aila Dorcey,Heindrick Camblin,Ber Timbridge,Nalani Sember
437,The Adventures of Hercules,Comedy|Fantasy,0,144,Hilary Dubery,Shell Clinkard,Malcolm Clac,Dominique Loudwell
255,Ringu (Ring),Horror|Mystery|Thriller,0,69,Katey Sandeson,Renault Amis,Gerrie Bunch,Clair Giacomasso
17,Drag Me to Hell,Comedy|Horror,0,59,Kamillah Tomaszek,Conrad Freezor,Midge Studdeard,Aymer Gilardoni
116,Black Legion,Crime|Drama,0,56,Dayna Guisot,Gabriel Godney,Laryssa Terram,Marlena Lantiff
823,Two Girls and a Sailor,Comedy|Musical|Romance,0,92,Ruthi Trevorrow,Jorge Vakhlov,Fiona Gaunson,Editha Mullin
93,Cremaster 2,Drama,0,220,Eirena Lehrer,Goran Goldwater,Pail Cornbell,Lurette Belton
658,"Bucket List, The",Comedy|Drama,0,154,Domeniga Yukhnin,Aime Rosenkranc,Catlaina Leming,Niko Semens
903,Sansa,Drama,0,84,Freddi Bottom,Sullivan Ianelli,Ringo Daen,Moina Lawes
737,Natural Selection,Comedy|Drama,0,59,Emery Amthor,Derek Spadelli,Minette Geraudel,Giacomo Holtham
506,Belly,Crime|Drama,0,216,Berty Yakobovicz,Lola Thow,Alvera Windle,Pauli Biddlecombe
183,Sixty Six,Comedy|Drama,0,90,Damara Warnes,Ainslie Dixcee,Bernadene Antczak,Elmo Klesel
461,Light Gradient,Drama|Mystery|Romance,0,74,Bria Mitkov,Osbourne Haliburton,Othello Bottle,Tawnya Marklow
898,"People vs. George Lucas, The",Documentary,0,116,Marie-jeanne Apted,Dewitt Liggens,Starlene Willcox,Rourke Marklow
982,Whose Life Is It Anyway?,Drama,0,69,Rosie Arnould,Jarvis Riatt,Maudie Gobolos,Benjamin Dilleway
737,52 Pick-Up,Action|Mystery|Thriller,0,144,Lorant Pettingall,Donny Cluckie,Alvira Tadgell,Nichole Blondin
109,Life for Sale (Kotirauha),Drama,0,70,Tersina Shitliffe,Audi Proctor,Elladine Normanvill,Willabella Kobus
840,"Forbidden Kingdom, The",Action|Adventure|Comedy|Fantasy,0,64,Garvy Sanderson,Georgetta Rime,Betsey Hailes,Caddric Mayfield
748,My Dog Skip,Children|Drama,0,175,Ross Woodwind,Andria Spendley,Dennis Lissenden,Nevsa Mamwell
959,Manhunter,Action|Crime|Drama|Horror|Thriller,0,202,Jillian Raggett,Eden Ellershaw,Celisse Rees,Remy Cicchinelli
691,All is Bright,Comedy|Drama,0,79,Sheila-kathryn Elks,Leona Kermannes,Jayme Helversen,Pieter Eyre
555,Photographer (Fotoamator),Documentary,0,184,Husain Ginnane,Orly Grinishin,Kleon Coomer,Petronille Sotheby
753,Food Matters,Documentary,0,226,Joell Irving,Norrie Meriton,Tedman Graveney,Adelina Matusov
439,Transformers: Age of Extinction,Action|Adventure|Sci-Fi,0,175,Fayina Gilkes,Calida Bellas,Aguie Labbett,Valdemar Trangmar
472,"Bullet for Joey, A",Crime|Drama|Film-Noir|Thriller,0,122,Ryley Vescovo,Alisha Watson-Brown,Wilt Klulisek,Gabriella Moorwood
986,Fire-Eater (Tulennielijä),Drama,0,111,Leah Sedgefield,Trumann Grinyov,Basile Smeal,Diarmid Rickett
539,Swing Time,Comedy|Musical|Romance,0,166,Davy Rawlcliffe,De witt Dewey,Reynold Stallion,Judye Hulatt
978,"Worthless, The (Arvottomat)",Crime|Drama,0,136,Delcina Wragge,Thorstein Trimnell,Penrod Clelle,Pen Dabels
391,God's Not Dead,Drama,0,207,Ely Riguard,Laurel Scamadine,Dru Files,Cybil Senecaux
571,And When Did You Last See Your Father?,Drama,0,188,Curr Axby,Enrika Peron,Philippe Schwandner,Tiler Halliwell
824,"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare)",Comedy|Musical|Romance,0,33,Camile Skypp,Simona Goodliff,Eloisa Kneaphsey,Sharon Guiness
943,King of New York,Crime|Thriller,0,182,Demott Kneel,Allison Candy,Jobye Balch,Zilvia Ingleby
290,"Toxic Avenger, Part II, The",Comedy|Horror,0,94,Englebert Wadge,Harland Smallpeice,Kath Leeuwerink,Chandler Trewett
709,Dr. Akagi (Kanzo sensei),Comedy|Drama|War,0,98,Wendall Gammell,Nanny Corck,Kimberlyn Swindle,Hoyt Jerzycowski
639,Gates of Heaven,Documentary,0,159,Darlleen Georges,Kessiah Churcher,Shep Milch,Murdoch Hickin
813,Faces of Death: Fact or Fiction?,Documentary|Horror,0,188,Gena Spencook,Willow Maulin,Elwin Rubega,Kial Petrakov
667,Women of the Night (Yoru no onnatachi),Drama,0,82,Dylan Alastair,Gwendolyn Arr,Gregoire Maillard,Kleon Brockway
693,Shane,Drama|Western,0,221,Alix Tassell,Marketa Lippiello,Layton Winser,Clement O'Gaven
842,Sleeping Dogs Lie (a.k.a. Stay),Comedy|Drama|Romance,0,83,Krysta Burdoun,Jourdain Skevington,Fionnula Rijkeseis,Lillis Warden
365,"Other Guys, The",Action|Comedy,0,237,Flora Danes,Elsbeth Pyett,Hilario Norewood,Nickolas Cottee
523,Easy,Comedy|Drama|Romance,0,159,Emerson Story,Heath Mussilli,Emerson Odgers,Jamison Itzhak
495,Son of the White Mare,Adventure|Animation|Fantasy,0,139,Armin Haken,Jenica Dudgeon,Erna Reynoldson,Kelvin Meaden
75,Appleseed Alpha,Action|Animation|Sci-Fi,0,151,Eilis Treffrey,Almira Middlebrook,Alexi Stonehewer,Truman Vasilmanov
629,Lunch Break,Documentary,0,119,Claudina Jillett,Leanor Kohter,Stephana Chin,Troy Cobain
496,Safe,Thriller,0,63,Kacy Wickman,Renaldo Spellacey,Charlena Stedall,Morna Stede
978,"Cercle Rouge, Le (Red Circle, The)",Crime|Thriller,0,183,Teodora McLorinan,Ginger Dragge,Arin Gladdifh,Dodie Zamorano
577,Fright Night,Comedy|Horror|Thriller,0,39,Roland Scullin,Marcia Busby,Janos Abelwhite,Clemmie Godby
447,Mein Kampf,Comedy|Drama,0,188,Lennie Boulsher,Jourdain Buckthought,Dore Towler,Burr Dudeney
489,Jefferson in Paris,Drama,0,36,Scott Darkin,Robinette Reely,Ellerey Kirkhouse,Ely Sleite
888,Kid Galahad,Crime|Drama|Romance,0,208,Travus Kilfoyle,Susannah Behne,Flori Bradder,Tanya Lake
679,Escape from Fort Bravo,Western,0,171,Engracia Dimblebee,Rochester Viegas,Bogart Allmen,Helene Gainseford
20,Liv & Ingmar,Documentary,0,197,Eleen Ibell,Brigitte Mouton,Bryant Olijve,Gwyneth Flaxon
804,Taxi Hunter (Di shi pan guan),Action,0,54,Halimeda Greenan,Molli Mallabone,Juliana Daughton,Dee Rickword
530,Spy Hard,Comedy,0,227,Molly Occleshaw,Esme McLarnon,Leon Kliemann,Cullie Hachard
627,In My Skin (Dans ma Peau),Drama,0,196,Clint Straun,Kliment Jowling,Frieda Asif,Efren Broose
95,Lila Says (Lila dit ça),Crime|Drama|Romance,0,159,Glenn Mackison,Hatty McFeat,Garrot Formie,Jasmin Kitchenman
583,Eegah,Fantasy|Horror|Romance|Thriller,0,82,Shanna Abby,Erina Croker,Zita Spraging,Tremayne de Verson
302,Nothing But the Truth,Drama|Thriller,0,166,Roxi Paul,Ernest Ibberson,Lesley Hastelow,Yovonnda Goodburn
497,Creation,Drama,0,209,Allsun McKeady,Shannon Mabb,Fin Tuffley,Lynnet Prest
197,Borrowed Hearts (Borrowed Hearts: A Holiday Romance),Drama|Fantasy|Romance,0,79,Pauly Raffles,Elianora Hearley,Crista Sivorn,Douglass McMarquis
270,"Thrushes Are Still Singing, The (Ta kourelia tragoudane akoma...)",Adventure|Crime|Drama,0,214,Ephrayim Layus,Kristoforo Lever,Rozanne Oneill,Camella Delhay
918,Downeast,Documentary,0,47,Stanford Jermy,Marget Aldren,Simone Tice,Hephzibah D'Costa
785,Dark Shadows,Comedy|Horror|IMAX,0,189,Hamid Pfiffer,Sibella Joe,Wakefield Matteacci,Brande Bartolomucci
41,The Harry Hill Movie,Comedy,0,137,Fredrika Kiss,Nadia Warrillow,Marge Eby,Cordy Muffett
733,Paziraie Sadeh,Drama,0,89,Amalita Radcliffe,Arlana Matei,Shela McCreery,Joyann Collomosse
968,8: The Mormon Proposition,Documentary,0,228,Terza Arman,Justinn Rives,Teddi Canty,Sylvan Phillipp
834,Sleepover,Comedy,0,123,Norma Custy,Hermy Dimnage,Shandee Macguire,Armin Grishanin
416,This Is Spinal Tap,Comedy,0,80,Wilmer Cestard,Ronalda Rabb,Emmalynn Hoopper,Martha Aucott
689,Capturing the Friedmans,Documentary,0,231,Corbin Ibbotson,Eric Steer,Denise Inett,Evangeline Gallier
129,"Charlie Brown Christmas, A",Animation|Children|Comedy,0,235,Gail Brendeke,Durward Sauniere,Marion Ghion,Correy Swanson
790,Princesas,Drama,0,216,Lisabeth Causton,Camala Shear,Pavel Bladge,Lila MacDiarmid
451,3 Ninjas: High Noon On Mega Mountain,Action|Children|Comedy,0,216,Ruby Phizaclea,Vanya Blackadder,Dennie Gorse,Teddie Reeve
294,Tyler Perry's Why Did I Get Married Too?,Comedy,0,76,Karel Eddy,Tiffie Norker,Belia MacNeilley,Jolee Bode
956,Lana Turner... a Daughter's Memoir,Documentary,0,49,Celle Suckling,Dallas Lafrentz,Myrta Blagdon,Deanne Romke
46,Dark Shadows,Comedy|Horror|IMAX,0,230,Darius Brittle,Eilis Chastaing,Cazzie Braley,Ginni Shimmin
394,Comrades: Almost a Love Story (Tian mi mi),Drama|Romance,0,92,Ruprecht Pfeffer,Laughton Roser,Tobe Chatin,Brandise Butterick
